# Chunk-averaged data for fix vbin and group vy
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx vy
0 42 8000
  1 -0.39685 200 0 0
  2 0.39685 200 0 0.00156434
  3 1.19055 200 0 0.00309017
  4 1.98425 200 0 0.0045399
  5 2.77795 200 0 0.00587785
  6 3.57165 200 0 0.00707107
  7 4.36535 200 0 0.00809017
  8 5.15905 200 0 0.00891007
  9 5.95275 200 0 0.00951057
  10 6.74645 200 0 0.00987688
  11 7.54015 200 0 0.01
  12 8.33386 200 0 0.00987688
  13 9.12756 200 0 0.00951057
  14 9.92126 200 0 0.00891007
  15 10.715 200 0 0.00809017
  16 11.5087 200 0 0.00707107
  17 12.3024 200 0 0.00587785
  18 13.0961 200 0 0.0045399
  19 13.8898 200 0 0.00309017
  20 14.6835 200 0 0.00156434
  21 15.4772 200 0 1.45473e-17
  22 16.2709 200 0 -0.00156434
  23 17.0646 200 0 -0.00309017
  24 17.8583 200 0 -0.0045399
  25 18.652 200 0 -0.00587785
  26 19.4457 200 0 -0.00707107
  27 20.2394 200 0 -0.00809017
  28 21.0331 200 0 -0.00891007
  29 21.8268 200 0 -0.00951057
  30 22.6205 200 0 -0.00987688
  31 23.4142 200 0 -0.01
  32 24.2079 200 0 -0.00987688
  33 25.0016 200 0 -0.00951057
  34 25.7953 200 0 -0.00891007
  35 26.589 200 0 -0.00809017
  36 27.3827 200 0 -0.00707107
  37 28.1764 200 0 -0.00587785
  38 28.9701 200 0 -0.0045399
  39 29.7638 200 0 -0.00309017
  40 30.5575 200 0 -0.00156434
  41 31.3512 0 0 0
  42 32.1449 0 0 0
